timestamp,Q,I
15107,138.45,410.32,131328.00
15126,-78.26,304.78,4104.00
15146,137.52,410.98,131328.00
15165,-78.33,304.45,4104.00
15185,133.62,409.13,131328.00
15204,-79.19,303.45,4104.00
15224,129.12,406.68,131328.00
15243,-78.13,303.12,4104.00
15263,132.29,408.60,131328.00
15282,-77.14,303.06,4104.00
15302,137.52,407.87,131328.00
15321,-77.47,303.06,4104.00
15341,130.70,406.02,131328.00
15360,-77.34,302.39,4104.00
15380,136.86,408.20,131328.00
15399,-78.33,302.92,4104.00
15419,133.82,409.26,131328.00
15438,-78.33,303.25,4104.00
15458,130.77,406.81,131328.00
15477,-78.13,303.98,4104.00
15497,137.66,409.26,131328.00
15516,-78.20,302.73,4104.00
15536,136.60,407.34,131328.00
15555,-78.59,302.79,4104.00
15575,131.17,404.96,131328.00
15594,-78.40,302.92,4104.00
15614,130.44,406.61,131328.00
15633,-78.33,302.99,4104.00
15653,136.46,410.98,131328.00
15672,-78.13,303.65,4104.00
15692,137.79,409.66,131328.00
15711,-76.87,303.19,4104.00
15730,135.80,410.19,131328.00
15750,-77.34,302.20,4104.00
15769,133.82,405.09,131328.00
15789,-76.28,302.59,4104.00
15808,129.12,406.22,131328.00
15828,-77.01,302.59,4104.00
15847,133.15,408.47,131328.00
15867,-79.12,302.33,4104.00
15886,134.81,405.95,131328.00
15906,-77.27,303.98,4104.00
15925,135.41,406.75,131328.00
15945,-77.14,302.99,4104.00
15964,135.80,409.79,131328.00
15984,-77.27,303.98,4104.00
16003,132.62,404.56,131328.00
16023,-78.53,305.18,4104.00
16042,130.51,406.41,131328.00
16062,-77.47,305.64,4104.00
16081,132.69,409.06,131328.00
16101,-77.27,308.09,4104.00
16120,132.82,404.89,131328.00
16140,-77.67,308.09,4104.00
16159,138.65,409.13,131328.00
16179,-77.60,308.35,4104.00
16198,131.43,406.81,131328.00
16218,-78.33,308.95,4104.00
16237,138.05,411.45,131328.00
16257,-77.20,310.67,4104.00
16276,139.51,410.72,131328.00
16296,-77.20,311.99,4104.00
16315,133.49,407.61,131328.00
16335,-77.27,313.58,4104.00
16354,140.57,413.43,131328.00
16374,-76.28,314.38,4104.00
16393,136.46,411.91,131328.00
16413,-75.68,316.17,4104.00
16432,134.41,408.80,131328.00
16452,-76.94,315.17,4104.00
16471,133.29,410.45,131328.00
16491,-75.28,316.17,4104.00
16510,136.33,412.24,131328.00
