timestamp,Q,I,F,phase_deg
19953.0,10.7,32.5,4104,18.22
19984.0,-5.4,28.2,131328,-10.84
20015.0,11.7,32.4,4104,19.86
20046.0,-5.3,28.3,131328,-10.61
20077.0,11.0,33.0,4104,18.43
20109.0,-5.5,28.5,131328,-10.92
20140.0,11.9,32.6,4104,20.05
20171.0,-5.0,28.7,131328,-9.88
20202.0,11.6,33.2,4104,19.26
20233.0,-5.5,28.7,131328,-10.85
20265.0,11.4,33.1,4104,19.00
20296.0,-5.4,29.0,131328,-10.55
20327.0,9.6,35.5,4104,15.13
20358.0,-5.7,29.0,131328,-11.12
20389.0,11.0,34.2,4104,17.83
20421.0,-5.7,29.0,131328,-11.12
20452.0,10.5,34.5,4104,16.93
20483.0,-5.5,28.9,131328,-10.78
20514.0,9.9,34.1,4104,16.19
20545.0,-5.8,28.5,131328,-11.50
20576.0,11.3,33.5,4104,18.64
20608.0,-5.4,28.8,131328,-10.62
20639.0,9.8,34.5,4104,15.86
20670.0,-6.0,28.5,131328,-11.89
